Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
    conhost.exe	< 0.01	5,760 K	1,512 K	10340		
   Dell.TechHub.Instrumentation.SubAgent.exe	0.16	1,02,956 K	47,544 K	7092		
    conhost.exe	< 0.01	5,760 K	1,756 K	7428		
    Dell.TechHub.Instrumentation.UserProcess.exe	< 0.01	43,104 K	23,640 K	26684		
  svchost.exe		6,428 K	13,456 K	4468	Host Process for Windows Services	Microsoft Corporation
  FusionService.exe		47,468 K	15,952 K	12464	FusionCore	Dell Inc.
  SupportAssistAgent.exe	< 0.01	2,04,780 K	37,776 K	16212	 	Dell Inc.
  svchost.exe		3,892 K	7,556 K	4708	Host Process for Windows Services	Microsoft Corporation
  DDVDataCollector.exe		73,152 K	7,440 K	15792	DDVDataCollector	Dell Technologies Inc.
  DDVCollectorSvcApi.exe		2,116 K	1,576 K	17096	Dell Data Vault Data Collector Service API	Dell Technologies Inc.
  svchost.exe		2,172 K	4,256 K	18248	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,336 K	12,564 K	19636	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		20,284 K	4,848 K	5768	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,928 K	3,832 K	19656	Host Process for Windows Services	Microsoft Corporation
  esrv_svc.exe	0.32	2,07,696 K	21,360 K	30748	Intel(R) System Usage Report	
  mc-fw-host.exe	0.16	1,32,940 K	80,528 K	17200	McAfee Framework Host Service	McAfee, LLC
   mc-fw-host.exe		6,324 K	14,776 K	5016		
  svchost.exe		1,660 K	7,524 K	19692	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		8,872 K	7,840 K	30008	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,096 K	9,260 K	9580	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,296 K	16,232 K	1188	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,876 K	22,856 K	21796	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,736 K	14,464 K	32660	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,216 K	15,680 K	10532	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,252 K	9,224 K	9340	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,188 K	9,584 K	11412	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,052 K	8,808 K	18212	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,600 K	8,200 K	14776	Host Process for Windows Services	Microsoft Corporation
